,,PLAYER,TEE TIME
0,,Patton Kizzire,7:40 AM
1,,Davis Riley,7:40 AM
2,,Jhonattan Vegas,7:51 AM
3,,Nicolai Højgaard,7:51 AM
4,,Kevin Yu,7:51 AM
5,,Mike Weir,8:02 AM
6,,Michael Kim,8:02 AM
7,,Cameron Young,8:02 AM
8,,Zach Johnson,8:13 AM
9,,Chris Kirk,8:13 AM
10,,Joe Highsmith,8:13 AM
11,,Danny Willett,8:24 AM
12,,Nicolas Echavarria,8:24 AM
13,,Davis Thompson,8:24 AM
14,,Bernhard Langer,8:35 AM
15,,Will Zalatoris,8:35 AM
16,,Noah Kent (a),8:35 AM
17,,Cameron Smith,8:52 AM
18,,J.T. Poston,8:52 AM
19,,Aaron Rai,8:52 AM
20,,Fred Couples,9:03 AM
21,,Harris English,9:03 AM
22,,Taylor Pendrith,9:03 AM
23,,Brian Harman,9:14 AM
24,,Stephan Jaeger,9:14 AM
25,,Corey Conners,9:14 AM
26,,Byeong Hun An,9:25 AM
27,,Patrick Reed,9:25 AM
28,,Max Greyserman,9:25 AM
29,,Billy Horschel,9:36 AM
30,,Robert MacIntyre,9:36 AM
31,,Nick Dunlap,9:36 AM
32,,Collin Morikawa,9:47 AM
33,,Joaquín Niemann,9:47 AM
34,,Min Woo Lee,9:47 AM
35,,Phil Mickelson,9:58 AM
36,,Jason Day,9:58 AM
37,,Keegan Bradley,9:58 AM
38,,Justin Thomas,10:15 AM
39,,Scottie Scheffler,10:15 AM
40,,Jose Luis Ballester (a),10:15 AM
41,,Jordan Spieth,10:26 AM
42,,Tyrrell Hatton,10:26 AM
43,,Tom Kim,10:26 AM
44,,Tony Finau,10:37 AM
45,,Thomas Detry,10:37 AM
46,,Maverick McNealy,10:37 AM
47,,Rafael Campos,10:48 AM
48,,Cam Davis,10:48 AM
49,,Austin Eckroat,10:48 AM
50,,Ángel Cabrera,10:59 AM
51,,Laurie Canter,10:59 AM
52,,Adam Schenk,10:59 AM
53,,José María Olazábal,11:10 AM
54,,Thriston Lawrence,11:10 AM
55,,Brian Campbell,11:10 AM
56,,Bubba Watson,11:21 AM
57,,Evan Beck (a),11:21 AM
58,,Matthieu Pavon,11:21 AM
59,,Tom Hoge,11:38 AM
60,,Christiaan Bezuidenhout,11:38 AM
61,,Matt McCarty,11:38 AM
62,,Charl Schwartzel,11:49 AM
63,,Denny McCarthy,11:49 AM
64,,Hiroshi Tai (a),11:49 AM
65,,Justin Rose,12:00 PM
66,,Max Homa,12:00 PM
67,,J.J. Spaun,12:00 PM
68,,Dustin Johnson,12:11 PM
69,,Nick Taylor,12:11 PM
70,,Justin Hastings (a),12:11 PM
71,,Sergio Garcia,12:22 PM
72,,Lucas Glover,12:22 PM
73,,Daniel Berger,12:22 PM
74,,Patrick Cantlay,12:33 PM
75,,Matt Fitzpatrick,12:33 PM
76,,Rasmus Højgaard,12:33 PM
77,,Russell Henley,12:50 PM
78,,Brooks Koepka,12:50 PM
79,,Sungjae Im,12:50 PM
80,,Adam Scott,1:01 PM
81,,Xander Schauffele,1:01 PM
82,,Viktor Hovland,1:01 PM
83,,Rory McIlroy,1:12 PM
84,,Ludvig Åberg,1:12 PM
85,,Akshay Bhatia,1:12 PM
86,,Shane Lowry,1:23 PM
87,,Hideki Matsuyama,1:23 PM
88,,Bryson DeChambeau,1:23 PM
89,,Tommy Fleetwood,1:34 PM
90,,Jon Rahm,1:34 PM
91,,Wyndham Clark,1:34 PM
92,,Sepp Straka,1:45 PM
93,,Sam Burns,1:45 PM
94,,Sahith Theegala,1:45 PM
